state	power	likelihood
300	1	-56382.5
400	1	-56379.4
500	1	-56381.8
600	1	-56377.8
700	1	-56378.1
800	1	-56379.9
900	1	-56380.4
1000	1	-56379.8
300	0.903921	-56383.6
400	0.903921	-56381.1
500	0.903921	-56380.6
600	0.903921	-56380.7
700	0.903921	-56385.6
800	0.903921	-56385.7
900	0.903921	-56381.7
1000	0.903921	-56382.6
300	0.815373	-56380.4
400	0.815373	-56380.6
500	0.815373	-56381.4
600	0.815373	-56382.4
700	0.815373	-56385.8
800	0.815373	-56381.3
900	0.815373	-56382.8
1000	0.815373	-56385.4
300	0.733904	-56381.7
400	0.733904	-56380.4
500	0.733904	-56381.4
600	0.733904	-56382.9
700	0.733904	-56380.1
800	0.733904	-56382.3
900	0.733904	-56384.3
1000	0.733904	-56381.4
300	0.659082	-56381.3
400	0.659082	-56380.6
500	0.659082	-56381.5
600	0.659082	-56381.3
700	0.659082	-56381
800	0.659082	-56385.2
900	0.659082	-56382.1
1000	0.659082	-56387.7
300	0.59049	-56387
400	0.59049	-56383.1
500	0.59049	-56381.3
600	0.59049	-56383.2
700	0.59049	-56381
800	0.59049	-56381.1
900	0.59049	-56380.2
1000	0.59049	-56380.2
300	0.527732	-56388.7
400	0.527732	-56388.5
500	0.527732	-56384.9
600	0.527732	-56381.2
700	0.527732	-56392.1
800	0.527732	-56385.4
900	0.527732	-56385.2
1000	0.527732	-56386.5
300	0.470427	-56389.1
400	0.470427	-56389.1
500	0.470427	-56385
600	0.470427	-56396.3
700	0.470427	-56383.6
800	0.470427	-56388.4
900	0.470427	-56396
1000	0.470427	-56392.6
300	0.418212	-56388.9
400	0.418212	-56380.4
500	0.418212	-56399.8
600	0.418212	-56380.7
700	0.418212	-56381.6
800	0.418212	-56383.5
900	0.418212	-56383.4
1000	0.418212	-56381.2
300	0.37074	-56380.9
400	0.37074	-56379.4
500	0.37074	-56393.2
600	0.37074	-56399.5
700	0.37074	-56401.9
800	0.37074	-56387.8
900	0.37074	-56389.7
1000	0.37074	-56386.2
300	0.32768	-56388.1
400	0.32768	-56395.8
500	0.32768	-56386.9
600	0.32768	-56384.1
700	0.32768	-56381.1
800	0.32768	-56397.2
900	0.32768	-56389.6
1000	0.32768	-56387.5
300	0.288717	-56381.1
400	0.288717	-56400.1
500	0.288717	-56394.8
600	0.288717	-56387.8
700	0.288717	-56395.9
800	0.288717	-56388.7
900	0.288717	-56390.1
1000	0.288717	-56382.1
300	0.253553	-56388.5
400	0.253553	-56397.2
500	0.253553	-56408.5
600	0.253553	-56383.9
700	0.253553	-56396.1
800	0.253553	-56384.5
900	0.253553	-56396.7
1000	0.253553	-56396.6
300	0.221901	-56397.7
400	0.221901	-56421.7
500	0.221901	-56380.6
600	0.221901	-56388.8
700	0.221901	-56393
800	0.221901	-56395.1
900	0.221901	-56420.9
1000	0.221901	-56393.7
300	0.193492	-56397.1
400	0.193492	-56389
500	0.193492	-56404.3
600	0.193492	-56391.2
700	0.193492	-56392.7
800	0.193492	-56394
900	0.193492	-56402.2
1000	0.193492	-56394
300	0.16807	-56389.2
400	0.16807	-56404.7
500	0.16807	-56417.4
600	0.16807	-56402.1
700	0.16807	-56396
800	0.16807	-56395.5
900	0.16807	-56412.8
1000	0.16807	-56386.8
300	0.145393	-56404.8
400	0.145393	-56392.6
500	0.145393	-56419.4
600	0.145393	-56431.7
700	0.145393	-56397.6
800	0.145393	-56421.7
900	0.145393	-56392.9
1000	0.145393	-56403.4
300	0.125233	-56409
400	0.125233	-56395.8
500	0.125233	-56397.9
600	0.125233	-56415.1
700	0.125233	-56408.7
800	0.125233	-56417.5
900	0.125233	-56413.4
1000	0.125233	-56422.8
300	0.107374	-56392.6
400	0.107374	-56432.1
500	0.107374	-56409.9
600	0.107374	-56410.7
700	0.107374	-56388.8
800	0.107374	-56407.2
900	0.107374	-56444.8
1000	0.107374	-56399.8
300	0.0916133	-56403.2
400	0.0916133	-56394.2
500	0.0916133	-56426.1
600	0.0916133	-56447
700	0.0916133	-56392.3
800	0.0916133	-56409.5
900	0.0916133	-56422.4
1000	0.0916133	-56421.7
300	0.07776	-56406.4
400	0.07776	-56453.1
500	0.07776	-56420.6
600	0.07776	-56408.9
700	0.07776	-56452.6
800	0.07776	-56432.1
900	0.07776	-56431.1
1000	0.07776	-56424.9
300	0.0656357	-56387.3
400	0.0656357	-56414.3
500	0.0656357	-56454
600	0.0656357	-56424.5
700	0.0656357	-56443.4
800	0.0656357	-56405.3
900	0.0656357	-56394.1
1000	0.0656357	-56404.3
300	0.0550732	-56443.5
400	0.0550732	-56431.9
500	0.0550732	-56442.2
600	0.0550732	-56436.1
700	0.0550732	-56463
800	0.0550732	-56447.6
900	0.0550732	-56398.8
1000	0.0550732	-56403.1
300	0.0459165	-56455
400	0.0459165	-56443.6
500	0.0459165	-56433.6
600	0.0459165	-56475.3
700	0.0459165	-56449.1
800	0.0459165	-56441.1
900	0.0459165	-56445.4
1000	0.0459165	-56419.1
300	0.0380204	-56435.7
400	0.0380204	-56477
500	0.0380204	-56409.8
600	0.0380204	-56418.8
700	0.0380204	-56461.4
800	0.0380204	-56453.2
900	0.0380204	-56498.8
1000	0.0380204	-56414
300	0.03125	-56548.9
400	0.03125	-56467.7
500	0.03125	-56447.1
600	0.03125	-56527.9
700	0.03125	-56555.2
800	0.03125	-56541.2
900	0.03125	-56493.8
1000	0.03125	-56459.7
300	0.0254804	-56570
400	0.0254804	-56490.5
500	0.0254804	-56462.1
600	0.0254804	-56423.2
700	0.0254804	-56499.9
800	0.0254804	-56471.9
900	0.0254804	-56424.9
1000	0.0254804	-56440.3
300	0.0205963	-56507.7
400	0.0205963	-56593.9
500	0.0205963	-56489.4
600	0.0205963	-56676.5
700	0.0205963	-56509.4
800	0.0205963	-56445
900	0.0205963	-56693.5
1000	0.0205963	-56447.7
300	0.0164916	-56754.3
400	0.0164916	-56628.6
500	0.0164916	-56520
600	0.0164916	-56562.3
700	0.0164916	-56722.2
800	0.0164916	-56599.6
900	0.0164916	-56462.3
1000	0.0164916	-56571.6
300	0.0130691	-56505.3
400	0.0130691	-56740.3
500	0.0130691	-56545.3
600	0.0130691	-57276.7
700	0.0130691	-56481.1
800	0.0130691	-56612.6
900	0.0130691	-56603
1000	0.0130691	-56630.7
300	0.01024	-56617.9
400	0.01024	-56787
500	0.01024	-56557.1
600	0.01024	-56603.5
700	0.01024	-56571.9
800	0.01024	-56655.7
900	0.01024	-56542.5
1000	0.01024	-56493.3
300	0.00792352	-56552.6
400	0.00792352	-56548.1
500	0.00792352	-56915.6
600	0.00792352	-56819
700	0.00792352	-56488.6
800	0.00792352	-56889.4
900	0.00792352	-56710.3
1000	0.00792352	-56837
300	0.00604662	-56802.9
400	0.00604662	-57221
500	0.00604662	-57060.7
600	0.00604662	-56681
