Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
0	-56404.56	-56400.4	-4.162199	0.00629273	0.0497784	-5.06836	-3.00018	-2.02446	-1.87721	0.007054075	0.02358666	0.770406	0.229594	0.132065	0.153016
1	-56405.15	-56400.23	-4.919087	0.00440656	0.0497784	-5.42466	-3.00018	-2.02446	-1.87721	0.007054075	0.02358666	0.770406	0.229594	0.132065	0.153016
2	-56408.89	-56405.15	-3.745636	0.0102315	0.0273842	-4.58228	-3.59779	-2.02446	-2.08602	0.008452403	0.02358666	0.719705	0.280295	0.132065	0.124181
3	-56403.67	-56401.08	-2.590368	0.0167834	0.0391578	-4.08736	-3.24015	-2.0212	-2.04062	0.006243989	0.02358666	0.838911	0.161089	0.132496	0.129948
4	-56415.49	-56413.46	-2.030572	0.0269073	0.0510968	-3.61536	-2.97403	-1.94592	-2.04062	0.006009356	0.02961876	0.895049	0.104951	0.142856	0.129948
5	-56394.79	-56391.17	-3.61799	0.00949873	0.0351162	-4.6566	-3.34909	-2.06321	-1.99629	0.006009356	0.02961876	0.895049	0.104951	0.127045	0.135839
6	-56416.59	-56414.27	-2.312579	0.027796	0.0351162	-3.58286	-3.34909	-1.93942	-2.07016	0.007356265	0.02870506	0.706948	0.293052	0.143788	0.126166
7	-56426.81	-56424.83	-1.986736	0.0332112	0.0453521	-3.40487	-3.0933	-1.96114	-2.07016	0.007356265	0.02870506	0.941204	0.0587962	0.140698	0.126166
8	-56428.84	-56426.58	-2.26658	0.021434	0.0411369	-3.84278	-3.19085	-1.96114	-2.21572	0.007356265	0.02052341	0.541324	0.458676	0.140698	0.109075
9	-56420.83	-56417.59	-3.241897	0.00907421	0.0447793	-4.70232	-3.10601	-1.97686	-1.89554	0.004497001	0.02052341	0.541324	0.458676	0.138503	0.150237
10	-56428.35	-56426.45	-1.905753	0.031692	0.0447793	-3.45169	-3.10601	-1.88536	-2.0801	0.005138825	0.03071367	0.541324	0.458676	0.151774	0.124918
11	-56398.91	-56395.57	-3.333843	0.0222401	0.0164025	-3.80586	-4.11032	-1.98921	-2.0801	0.005138825	0.04279629	0.607393	0.392607	0.136803	0.124918
12	-56397.2	-56393.63	-3.560924	0.0122762	0.0198766	-4.40009	-3.91821	-2.01193	-2.0801	0.005138825	0.02431575	0.767785	0.232215	0.133731	0.124918
13	-56391.5	-56387.7	-3.791367	0.0122762	0.0198766	-4.40009	-3.91821	-2.01193	-2.0801	0.005434746	0.03561712	0.767785	0.232215	0.133731	0.124918
14	-56401.12	-56397.84	-3.279316	0.0148328	0.0277868	-4.21091	-3.58319	-1.99026	-2.1385	0.006293745	0.03829764	0.399235	0.600765	0.13666	0.117832
15	-56404.9	-56400.94	-3.957365	0.0138506	0.0142237	-4.27943	-4.25285	-2.00287	-2.27908	0.006018417	0.02839814	0.523161	0.476839	0.134947	0.102379
16	-56411.14	-56407.25	-3.883792	0.0138506	0.0142237	-4.27943	-4.25285	-2.00287	-2.3095	0.006018417	0.0247157	0.444765	0.555235	0.134947	0.0993111
17	-56407.49	-56403.06	-4.427945	0.00980402	0.0145938	-4.62496	-4.22716	-2.09542	-2.25608	0.005291768	0.03140555	0.444765	0.555235	0.123019	0.104761
18	-56396.63	-56390.98	-5.653264	0.00544704	0.0157725	-5.21268	-4.14949	-2.01368	-2.05471	0.005291768	0.0441608	0.580253	0.419747	0.133497	0.12813
19	-56406.37	-56403.07	-3.295495	0.0169553	0.0263203	-4.07717	-3.63741	-1.99932	-2.07571	0.007058811	0.0441608	0.580253	0.419747	0.135427	0.125467
20	-56408.98	-56405.25	-3.729867	0.0121085	0.0210568	-4.41384	-3.86053	-1.98833	-1.93441	0.003877177	0.0441608	0.580253	0.419747	0.136923	0.144509
21	-56414.79	-56412.09	-2.700858	0.0275539	0.0277066	-3.59161	-3.58608	-1.98833	-1.93441	0.006446819	0.0441608	0.493006	0.506994	0.136923	0.144509
22	-56399.73	-56396.41	-3.320095	0.0106428	0.0394078	-4.54287	-3.23379	-1.98833	-2.0002	0.005826648	0.02813667	0.9277	0.0723005	0.136923	0.135308
23	-56430.01	-56426.82	-3.189252	0.0106428	0.043327	-4.54287	-3.13898	-2.07222	-2.0002	0.00295107	0.04821167	0.9277	0.0723005	0.125906	0.135308
24	-56399.87	-56396.48	-3.391889	0.0106428	0.043327	-4.54287	-3.13898	-1.9955	-1.96245	0.006337507	0.03282283	0.9277	0.0723005	0.135945	0.140514
25	-56398.88	-56395.47	-3.413841	0.0106428	0.043327	-4.54287	-3.13898	-2.00455	-1.96245	0.006337507	0.03433372	0.9277	0.0723005	0.134721	0.140514
26	-56424.6	-56421.98	-2.623538	0.0140369	0.0348664	-4.26606	-3.35623	-2.00455	-2.13496	0.006337507	0.01357284	0.980953	0.0190474	0.134721	0.11825
27	-56441.56	-56439.02	-2.54294	0.0157843	0.0396469	-4.14874	-3.22774	-1.96269	-1.90955	0.007927446	0.01357284	0.980953	0.0190474	0.14048	0.148147
28	-56439.93	-56436.97	-2.960308	0.0157843	0.018945	-4.14874	-3.96621	-1.96269	-2.02945	0.005519704	0.01218348	0.980953	0.0190474	0.14048	0.131408
