Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-56423.38	-56421.69	-1.694221	0.0119967	0.0119967	0.00690607	0.00690607	-4.423123	-0.5522313	0.01775025	0.1264688	0.008209656	0.01726549	0.15051	0.253476	0.589586	0.00642672	0.0479439	0.0479439	0.23062	0.23062	-3.037724	1.570739
1	-56481.73	-56481.24	-0.4903128	0.0383303	0.0383303	0.0220654	0.0220654	-3.261514	-0.5522313	0.02558122	0.1286949	0.008209656	0.01862131	0.814406	0.0383002	0.146322	0.000971075	0.0479439	0.0479439	0.238278	0.238278	-3.037724	1.603406
2	-56447.3	-56445.75	-1.544202	0.0153951	0.0153951	0.00886238	0.00886238	-4.173709	-0.5522313	0.01299483	0.1286949	0.01202202	0.01862131	0.814406	0.0383002	0.146322	0.000971075	0.053772	0.053772	0.267243	0.267243	-2.923002	1.603406
3	-56420.75	-56417.49	-3.26112	0.00563859	0.00563859	0.00843656	0.00843656	-5.178122	0.4029412	0.01514143	0.1439024	0.01202202	0.01862131	0.814406	0.0383002	0.146322	0.000971075	0.0482115	0.0482115	0.239608	0.239608	-3.032159	1.603406
4	-56448.1	-56446.71	-1.391179	0.0168152	0.0168152	0.0251593	0.0251593	-4.08547	0.4029412	0.002380272	0.1439198	0.006730628	0.01862131	0.653421	0.0197171	0.0753274	0.251534	0.0451247	0.0451247	0.284134	0.284134	-3.098324	1.840017
5	-56439.21	-56437.39	-1.817923	0.012583	0.012583	0.018827	0.018827	-4.375405	0.4029412	0.002380272	0.1194246	0.006730628	0.01835504	0.653421	0.0197171	0.0753274	0.251534	0.0410979	0.0410979	0.258779	0.258779	-3.191797	1.840017
6	-56434	-56432.36	-1.639021	0.0134904	0.0134904	0.0176139	0.0176139	-4.305775	0.2667066	0.01825545	0.1278022	0.006730628	0.02112114	0.653421	0.0197171	0.0753274	0.251534	0.0410979	0.0410979	0.227624	0.227624	-3.191797	1.711737
7	-56431.52	-56427.88	-3.640421	0.00468428	0.00468428	0.00611607	0.00611607	-5.363543	0.2667066	0.003931061	0.1698995	0.006730628	0.02774391	0.540805	0.188668	0.0623448	0.208183	0.0490166	0.0490166	0.271482	0.271482	-3.015597	1.711737
8	-56464.5	-56462.65	-1.847752	0.0191993	0.0191993	0.0459416	0.0459416	-3.952879	0.8724937	0.01372493	0.1394248	0.01225212	0.028701	0.528153	0.184254	0.0842813	0.203312	0.0538568	0.0538568	0.29829	0.29829	-2.921426	1.711737
9	-56466.14	-56463.84	-2.306157	0.00881018	0.00881018	0.0118706	0.0118706	-4.731847	0.2981535	0.01782681	0.1394248	0.006017892	0.02794553	0.294437	0.320122	0.272098	0.113344	0.0513455	0.0513455	0.284381	0.284381	-2.969179	1.711737
10	-56432.85	-56429.89	-2.968842	0.00687674	0.00687674	0.0092655	0.0092655	-4.979611	0.2981535	0.0175151	0.1524467	0.01116263	0.0188704	0.221409	0.145197	0.322381	0.311013	0.0438755	0.0438755	0.243403	0.243403	-3.126399	1.713364
11	-56455.32	-56454.07	-1.24898	0.0212756	0.0212756	0.0281109	0.0281109	-3.850197	0.2785976	0.0175151	0.1923776	0.01285194	0.0188704	0.152272	0.153164	0.113805	0.580758	0.0541356	0.0541356	0.300322	0.300322	-2.916263	1.713364
12	-56448.98	-56447.01	-1.966716	0.0124823	0.0124823	0.020146	0.020146	-4.38344	0.4786892	0.01870817	0.1747641	0.01184138	0.01871976	0.429124	0.133926	0.173569	0.26338	0.0531413	0.0531413	0.294806	0.294806	-2.9348	1.713364
13	-56429.26	-56425.44	-3.817181	0.0047466	0.0047466	0.0076608	0.0076608	-5.350328	0.4786892	0.003244905	0.1505699	0.01184138	0.01992936	0.261883	0.135961	0.239195	0.362962	0.0462339	0.0462339	0.256486	0.256486	-3.074043	1.713364
14	-56430.06	-56426.94	-3.114066	0.00655797	0.00655797	0.00197186	0.00197186	-5.027075	-1.201705	0.01157642	0.2144244	0.004368537	0.01992936	0.261883	0.135961	0.239195	0.362962	0.0571219	0.0571219	0.285758	0.285758	-2.862567	1.609957
15	-56431.02	-56429.84	-1.179759	0.0180312	0.0180312	0.0172911	0.0172911	-4.015651	-0.04191438	0.01180447	0.1559637	0.01106447	0.01992936	0.245035	0.127213	0.288141	0.339611	0.0584747	0.0584747	0.292525	0.292525	-2.839161	1.609957
16	-56408.57	-56406.65	-1.92018	0.0107361	0.0107361	0.0102954	0.0102954	-4.534139	-0.04191438	0.003219634	0.1413598	0.01163417	0.0185457	0.0271163	0.0385105	0.659188	0.275185	0.0532344	0.0532344	0.26631	0.26631	-2.933051	1.609957
17	-56444.44	-56442.57	-1.868246	0.0107361	0.0107361	0.0102954	0.0102954	-4.534139	-0.04191438	0.005918177	0.1289605	0.0123578	0.01342266	0.00793367	0.718688	0.192865	0.0805133	0.0500809	0.0500809	0.267341	0.267341	-2.994116	1.674887
18	-56395.9	-56394.14	-1.756399	0.0107361	0.0107361	0.0102954	0.0102954	-4.534139	-0.04191438	0.005918177	0.1289605	0.00707319	0.01981134	0.00371186	0.769818	0.188801	0.0376691	0.0478285	0.0478285	0.24237	0.24237	-3.040133	1.622845
19	-56407.26	-56405.63	-1.633284	0.0162356	0.0162356	0.0444144	0.0444144	-4.120552	1.006361	0.006398181	0.1289605	0.00707319	0.01981134	0.00342236	0.709776	0.252071	0.0347311	0.0503398	0.0503398	0.255096	0.255096	-2.98896	1.622845
20	-56414.44	-56407.77	-6.670215	0.00425123	0.00425123	0.047789	0.047789	-5.460547	2.419586	0.01111257	0.1369207	0.008206705	0.01981134	0.00342236	0.709776	0.252071	0.0347311	0.0504259	0.0504259	0.289542	0.289542	-2.987251	1.747797
21	-56452.16	-56448.52	-3.634221	0.00425123	0.00425123	0.00980857	0.00980857	-5.460547	0.836048	0.01725871	0.1681249	0.004866194	0.01583833	0.00342236	0.709776	0.252071	0.0347311	0.0551546	0.0551546	0.294013	0.294013	-2.897615	1.673483
22	-56445.87	-56440.41	-5.457927	0.00343604	0.00343604	0.0130829	0.0130829	-5.673435	1.336983	0.02190017	0.1681249	0.01164139	0.02373349	0.00455629	0.0786913	0.021936	0.894816	0.044864	0.044864	0.243358	0.243358	-3.104119	1.690896
23	-56434.75	-56430.35	-4.40018	0.0038316	0.0038316	0.00644525	0.00644525	-5.564474	0.5200616	0.02190017	0.1518104	0.01164139	0.02373349	0.024051	0.336501	0.367253	0.272196	0.044864	0.044864	0.238055	0.238055	-3.104119	1.668864
