Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-56461.98	-56454.09	-7.890974	0.0049271	0.0311029	0.0110942	0.0700333	-5.31301	-3.47045	0.81167	0.48515	0.01802923	0.2107436	0.01271129	0.01367051	0.465881	0.0142963	0.36003	0.159793	0.0717989	0.0705558	0.315523	0.31006	-2.63389	-2.65135	1.48036	0.707229
1	-56577.9	-56574.09	-3.816019	0.0340019	0.0419529	0.0765609	0.0944638	-3.38134	-3.17121	0.81167	0.48515	0.01985264	0.2107436	0.001672139	0.01247614	0.58751	0.0180287	0.19295	0.201511	0.0721631	0.0705558	0.336543	0.329047	-2.62883	-2.65135	1.5398	0.707229
2	-56443.9	-56439.17	-4.73016	0.0448561	0.0364346	0.0577566	0.0469131	-3.1043	-3.31224	0.252777	-0.900445	0.01344171	0.2412194	0.00746614	0.02105774	0.562202	0.0172521	0.227715	0.192831	0.0704553	0.0723456	0.318037	0.326569	-2.65278	-2.6263	1.50719	0.707229
3	-56538.1	-56533.63	-4.470578	0.0174275	0.086813	0.0224396	0.11178	-4.04971	-2.444	0.252777	-0.577831	0.02701426	0.2195373	0.005822697	0.0100674	0.659031	0.0202234	0.266935	0.053811	0.0704553	0.079129	0.318037	0.35719	-2.65278	-2.53668	1.50719	0.707229
4	-56499.52	-56491.93	-7.586451	0.00413477	0.0942113	0.00532392	0.121306	-5.48832	-2.36221	0.252777	-0.577831	0.02701426	0.2815433	0.008954559	0.01712448	0.210547	0.038341	0.506074	0.245038	0.0645292	0.0897824	0.291286	0.40528	-2.74064	-2.41037	1.50719	0.707229
5	-56512.07	-56502.94	-9.130957	0.00413477	0.0207561	0.00532392	0.0267255	-5.48832	-3.87491	0.252777	1.17054	0.02701426	0.267209	0.01153807	0.01712448	0.0647153	0.0454236	0.599559	0.290302	0.0525933	0.0651791	0.237407	0.29422	-2.94517	-2.73062	1.50719	0.599771
6	-56510.52	-56504.57	-5.950364	0.0178806	0.0192834	0.00512401	0.005526	-4.02404	-3.94851	-1.24978	-0.913631	0.02701426	0.194437	0.004422362	0.01712448	0.0619866	0.19818	0.574279	0.165554	0.0525933	0.076173	0.198274	0.287169	-2.94517	-2.57475	1.32706	0.220763
7	-56489.82	-56485.36	-4.465626	0.0298161	0.0475385	0.0104544	0.0166684	-3.51271	-3.04622	-1.04802	0.728421	0.006113062	0.194437	0.004422362	0.01712448	0.202464	0.173459	0.479174	0.144903	0.0501751	0.076173	0.245905	0.373319	-2.99224	-2.57475	1.58943	0.16795
8	-56611.88	-56607.49	-4.387167	0.0298161	0.0475385	0.0820823	0.130871	-3.51271	-3.04622	1.01267	-0.163641	0.07367394	0.2106558	0.005283275	0.01836806	0.263921	0.226112	0.321079	0.188888	0.0501751	0.076173	0.245905	0.373319	-2.99224	-2.57475	1.58943	0.16795
9	-56515.11	-56511.63	-3.474925	0.0484406	0.0475385	0.0304202	0.0298537	-3.02742	-3.04622	-0.465231	-0.163641	0.01311466	0.1956679	0.005283275	0.01836806	0.263921	0.226112	0.321079	0.188888	0.049928	0.0772638	0.222289	0.343993	-2.99717	-2.56053	1.4934	0.16795
10	-56499.01	-56490.96	-8.043767	0.00825667	0.0169582	0.00171909	0.00353081	-4.79673	-4.077	-1.56922	-0.434486	0.005118431	0.1931589	0.005131562	0.02484582	0.31329	0.268409	0.194079	0.224221	0.0479404	0.0540561	0.21344	0.240668	-3.0378	-2.91773	1.4934	0.290709
11	-56415.79	-56408.32	-7.465622	0.00971101	0.0169582	0.0020219	0.00353081	-4.6345	-4.077	-1.56922	-0.567427	0.006607765	0.1172152	0.004239935	0.02484582	0.288299	0.246998	0.178597	0.286106	0.0510644	0.0662069	0.208534	0.270373	-2.97467	-2.71497	1.40702	0.290709
12	-56409.6	-56401.44	-8.166218	0.00971101	0.0169582	0.00143872	0.00251242	-4.6345	-4.077	-1.9095	-0.567427	0.009722351	0.1239664	0.006411948	0.02226007	0.199046	0.183821	0.178046	0.439087	0.0510644	0.0662069	0.197852	0.256522	-2.97467	-2.71497	1.35443	0.290709
13	-56399.86	-56393.7	-6.152223	0.00971101	0.0177506	0.00815074	0.0148986	-4.6345	-4.03133	-0.175151	-0.567427	0.007468827	0.1043567	0.006411948	0.02226007	0.0184143	0.223856	0.435147	0.322583	0.0561522	0.0595421	0.217565	0.230699	-2.87969	-2.82107	1.35443	0.171201
14	-56454.8	-56448.15	-6.656129	0.0481326	0.0112557	0.0242349	0.00566726	-3.0338	-4.48688	-0.686167	-0.567427	0.007275367	0.165724	0.006411948	0.0211983	0.0237929	0.308637	0.562247	0.105323	0.0561522	0.0525662	0.237455	0.222291	-2.87969	-2.94568	1.44191	1.40104
15	-56420.77	-56410.5	-10.27689	0.0533615	0.00189187	0.0228832	0.000811298	-2.93067	-6.27019	-0.846688	-0.567427	0.007275367	0.165724	0.005761296	0.03359962	0.315275	0.234222	0.370573	0.0799293	0.0566316	0.0678718	0.23823	0.285514	-2.87119	-2.69013	1.43667	0.903146
16	-56427.72	-56417.57	-10.14921	0.0180179	0.00229625	0.00772666	0.000984709	-4.01639	-6.07648	-0.846688	0.582282	0.007275367	0.1391306	0.004683498	0.02293289	0.221411	0.164489	0.462518	0.151582	0.0645086	0.058138	0.227145	0.204713	-2.74096	-2.84494	1.25879	0.903146
17	-56484.39	-56476.34	-8.048757	0.0180179	0.00557041	0.00772666	0.00238877	-4.01639	-5.19029	-0.846688	0.582282	0.01174579	0.1391306	0.009888663	0.01782136	0.109928	0.198132	0.229634	0.462306	0.0819179	0.058138	0.288445	0.204713	-2.50204	-2.84494	1.25879	0.734612
18	-56442.37	-56434.7	-7.66921	0.0466854	0.0122412	0.0200202	0.00524942	-3.06432	-4.40295	-0.846688	1.86257	0.006028067	0.2026726	0.009888663	0.03506811	0.203978	0.230181	0.0287558	0.537085	0.0819179	0.0876335	0.288445	0.308571	-2.50204	-2.43459	1.25879	0.734612
19	-56515.05	-56506.5	-8.553149	0.0498503	0.0129961	0.0213774	0.00557316	-2.99873	-4.3431	-0.846688	1.91255	0.005383475	0.2203356	0.01210574	0.02107769	0.106101	0.103049	0.0128737	0.777976	0.0697366	0.103824	0.236635	0.352304	-2.66303	-2.26505	1.22179	1.80574
20	-56447.28	-56439.27	-8.009758	0.0498503	0.0129961	0.0165588	0.00431693	-2.99873	-4.3431	-1.10211	1.91255	0.005383475	0.1322052	0.002616765	0.02225185	0.263643	0.381979	0.0477196	0.306658	0.0718997	0.0678435	0.243975	0.230211	-2.63248	-2.69055	1.22179	1.80574
21	-56466.79	-56458.59	-8.202483	0.020226	0.0441437	0.00671848	0.0146632	-3.90079	-3.12031	-1.10211	1.91255	0.009361617	0.1211535	0.008480458	0.02225185	0.263643	0.381979	0.0477196	0.306658	0.0567572	0.059035	0.192592	0.200322	-2.86897	-2.82962	1.22179	1.80574
22	-56461.57	-56456.16	-5.406725	0.0287649	0.0441437	0.0180805	0.027747	-3.5486	-3.12031	-0.464322	0.353225	0.003866859	0.1106715	0.008480458	0.02225185	0.180042	0.478669	0.0597987	0.281491	0.0674257	0.0947453	0.228794	0.321497	-2.69673	-2.35656	1.22179	1.80574
23	-56477.91	-56473.16	-4.744587	0.0287649	0.0446275	0.021227	0.0329328	-3.5486	-3.1094	-0.303883	1.25353	0.01346021	0.156721	0.008480458	0.02225185	0.378629	0.217245	0.0708087	0.333318	0.0715636	0.056375	0.309206	0.243581	-2.63717	-2.87573	1.46342	0.0927713
24	-56537.6	-56533.17	-4.425057	0.0256166	0.047966	0.0189037	0.0353964	-3.66452	-3.03726	-0.303883	1.25353	0.009379872	0.150815	0.00464898	0.009894715	0.204451	0.278141	0.0906571	0.426751	0.0532257	0.048154	0.295042	0.266928	-2.93321	-3.03335	1.71258	0.0131594
25	-56682.14	-56677.27	-4.865558	0.0221221	0.047966	0.0348856	0.0756404	-3.81118	-3.03726	0.455498	0.160334	0.01629769	0.130531	0.02413922	0.01611375	0.204451	0.278141	0.0906571	0.426751	0.0650344	0.048154	0.3605	0.266928	-2.73284	-3.03335	1.71258	0.0131594
26	-56490.76	-56486.07	-4.685665	0.0171322	0.047966	0.0456535	0.127819	-4.0668	-3.03726	0.980122	0.160334	0.02181189	0.166272	0.005139723	0.01403392	0.200552	0.29191	0.0889278	0.41861	0.0559693	0.0661088	0.31025	0.366456	-2.88295	-2.71645	1.71258	0.0531773
27	-56494.75	-56489.13	-5.618345	0.0171322	0.0404329	0.0615438	0.145247	-4.0668	-3.20811	1.27879	-0.296868	0.0186629	0.1128323	0.01599322	0.01403392	0.249137	0.120368	0.110472	0.520023	0.0503723	0.0699119	0.255192	0.354182	-2.98831	-2.66052	1.62258	0.0531773
28	-56521.5	-56514.22	-7.274879	0.0171322	0.0404329	0.0615438	0.145247	-4.0668	-3.20811	1.27879	1.8147	0.01514925	0.1749226	0.0135985	0.008393671	0.10336	0.143737	0.131919	0.620984	0.0700972	0.076231	0.355259	0.386346	-2.65787	-2.57399	1.62296	0.535109
29	-56508.71	-56501.8	-6.905678	0.0171322	0.0404329	0.0615438	0.145247	-4.0668	-3.20811	1.27879	1.8147	0.01200357	0.2352138	0.01587476	0.008393671	0.083696	0.328793	0.0846674	0.502844	0.0778924	0.091265	0.34472	0.403902	-2.55243	-2.39399	1.4874	0.20895
30	-56513.23	-56504.86	-8.37235	0.0171322	0.032414	0.0615438	0.116441	-4.0668	-3.42916	1.27879	-0.669348	0.01750253	0.1907085	0.01587476	0.008393671	0.25824	0.532228	0.118964	0.0905679	0.0711957	0.091265	0.29976	0.384259	-2.64232	-2.39399	1.43755	3.0078
31	-56484.62	-56476.06	-8.561142	0.00648675	0.0608362	0.0233023	0.218541	-5.03799	-2.79957	1.27879	0.878755	0.003905005	0.1679973	0.008455092	0.008393671	0.0240564	0.70026	0.156522	0.119161	0.0690442	0.091265	0.315998	0.417697	-2.67301	-2.39399	1.52099	2.09229
32	-56583.3	-56576.29	-7.010729	0.0134356	0.0367403	0.016154	0.0441741	-4.30985	-3.30388	0.184263	-1.03318	0.008751968	0.1371963	0.008455092	0.008393671	0.0125075	0.364082	0.561455	0.0619549	0.0518631	0.091265	0.237365	0.417697	-2.95915	-2.39399	1.52099	2.09229
33	-56471.14	-56464.28	-6.860176	0.023921	0.0146772	0.0212822	0.0130581	-3.733	-4.22146	-0.116887	-0.39805	0.002646243	0.1371963	0.008455092	0.009412209	0.00915648	0.266537	0.41103	0.313277	0.0518631	0.0622797	0.223027	0.267821	-2.95915	-2.77612	1.45868	2.09229
34	-56485.78	-56477.36	-8.419294	0.0145162	0.00658632	0.0122711	0.00556768	-4.23249	-5.02276	-0.168016	1.17745	0.01562382	0.1527102	0.01761183	0.01349386	0.010825	0.315106	0.614373	0.0596964	0.0511175	0.0622797	0.21982	0.267821	-2.97363	-2.77612	1.45868	0.491171
35	-56480.83	-56475.43	-5.404135	0.0145162	0.044361	0.0122711	0.0375001	-4.23249	-3.1154	-0.168016	0.539869	0.01562382	0.1530976	0.01761183	0.01044175	0.00749858	0.281612	0.669537	0.0413523	0.0577484	0.0621713	0.23667	0.254796	-2.85166	-2.77786	1.41057	0.679374
36	-56495.71	-56488.22	-7.49543	0.0145162	0.0118261	0.0108326	0.00882513	-4.23249	-4.43744	-0.292709	1.23717	0.01562382	0.1531025	0.01617772	0.01044175	0.230785	0.218257	0.518909	0.0320492	0.0577484	0.0668336	0.263932	0.305455	-2.85166	-2.70555	1.51959	0.679374
37	-56429.19	-56424.69	-4.502776	0.0506873	0.0236703	0.065456	0.0305671	-2.98208	-3.74353	0.255702	0.362722	0.005630381	0.1531025	0.004522234	0.02294103	0.227395	0.215051	0.525976	0.0315784	0.061451	0.0653091	0.295246	0.313783	-2.78951	-2.72862	1.56957	0.679374
38	-56460.76	-56452.27	-8.483596	0.0419014	0.00952787	0.0445711	0.0101349	-3.17244	-4.65353	0.0617656	-1.6639	0.003271527	0.1995202	0.004522234	0.02294103	0.399512	0.151246	0.442613	0.00662915	0.075358	0.0586276	0.362064	0.281681	-2.5855	-2.83655	1.56957	1.99962
