Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
0	-56307.46	-56303.52	-3.938462	0.0181765	0.0181765	0.00782006	0.00782006	-4.007627	-0.843436	0.01904756	1.433545	0.0105925	0.07117444	0.591985	0.243511	0.109714	0.0547897	0.116776	0.116776	1.01564	1.01564	-2.147497	2.163013
1	-56364	-56361.64	-2.367944	0.0158514	0.0158514	0.00681973	0.00681973	-4.1445	-0.843436	0.01962914	1.201272	0.0105925	0.004019299	0.572759	0.319323	0.0182909	0.0896271	0.0943484	0.0943484	0.820577	0.820577	-2.360761	2.163013
2	-56206.11	-56208.09	1.980849	0.0713241	0.0713241	0.0306857	0.0306857	-2.640522	-0.843436	0.01049725	0.135217	0.0105925	0.0003583381	0.716365	0.211991	0.0121429	0.0595013	0.0782459	0.0782459	0.275137	0.275137	-2.547899	1.257414
3	-56279.4	-56280.62	1.223083	0.0421602	0.0421602	0.0695911	0.0695911	-3.166279	0.5011599	0.04895305	0.06987377	0.001725654	0.007239876	0.807367	0.126698	0.0136854	0.0522495	0.0580767	0.0580767	0.228922	0.228922	-2.845991	1.371618
4	-56411.23	-56411.94	0.7147841	0.0979381	0.0979381	0.16166	0.16166	-2.32342	0.5011599	0.07353141	0.07208063	0.005788665	0.007239876	0.786317	0.140543	0.0151809	0.0579591	0.0617909	0.0617909	0.285118	0.285118	-2.783999	1.529148
5	-55900.53	-55899.31	-1.22344	0.0376844	0.0376844	0.00955059	0.00955059	-3.278509	-1.372643	0.02428913	0.2509393	0.005788665	0.0269627	0.593923	0.320894	0.0176806	0.0675027	0.0661732	0.0661732	0.305339	0.305339	-2.71548	1.529148
6	-55942.89	-55940.59	-2.302513	0.0212503	0.0212503	0.00299726	0.00299726	-3.851383	-1.958674	0.02594623	0.1961533	0.00281798	0.0269627	0.292073	0.449983	0.0247931	0.233151	0.0661732	0.0661732	0.305339	0.305339	-2.71548	1.529148
7	-56224.61	-56223.93	-0.68724	0.14295	0.14295	0.0276303	0.0276303	-1.945262	-1.643581	0.03300399	0.1869411	0.00281798	0.01307926	0.292073	0.449983	0.0247931	0.233151	0.047496	0.047496	0.219158	0.219158	-3.04711	1.529148
8	-56255.55	-56254.89	-0.6621826	0.0834916	0.0834916	0.0164588	0.0164588	-2.483009	-1.623888	0.1061909	0.1183215	0.00281798	0.01307926	0.260132	0.510133	0.0220818	0.207653	0.0440756	0.0440756	0.203375	0.203375	-3.12185	1.529148
9	-56230.91	-56228.33	-2.583335	0.0142452	0.0142452	0.00280816	0.00280816	-4.251338	-1.623888	0.1885296	0.4036426	0.00281798	0.01307926	0.539449	0.317546	0.0137454	0.129259	0.0399952	0.0399952	0.213271	0.213271	-3.218997	1.673805
10	-56182.69	-56181.78	-0.9070498	0.0412368	0.0412368	0.0163957	0.0163957	-3.188424	-0.9223134	0.1885296	0.56835	0.00281798	0.02401723	0.539449	0.317546	0.0137454	0.129259	0.0561175	0.0561175	0.299242	0.299242	-2.880308	1.673805
11	-56266.59	-56263.5	-3.084878	0.0160231	0.0160231	0.0376415	0.0376415	-4.133725	0.8540769	0.1885296	0.514933	0.009216726	0.09696476	0.399101	0.331629	0.014355	0.254915	0.0561175	0.0561175	0.299242	0.299242	-2.880308	1.673805
12	-56104.44	-56102.85	-1.583777	0.0270848	0.0270848	0.0636277	0.0636277	-3.608783	0.8540769	0.1250488	0.3728274	0.009216726	0.02729714	0.399101	0.331629	0.014355	0.254915	0.0561175	0.0561175	0.299242	0.299242	-2.880308	1.673805
13	-56348.55	-56345.91	-2.64143	0.0270848	0.0270848	0.0636277	0.0636277	-3.608783	0.8540769	0.07723841	0.8408375	0.01001952	0.09792168	0.45505	0.320346	0.00930915	0.215295	0.105403	0.105403	0.562056	0.562056	-2.24996	1.673805
14	-56330.07	-56326.18	-3.884633	0.0450309	0.0450309	0.00752519	0.00752519	-3.100407	-1.789092	0.03233145	1.143383	0.01001952	0.09792168	0.0226519	0.750102	0.0217977	0.205448	0.105403	0.105403	0.641967	0.641967	-2.24996	1.806742
15	-56709.92	-56705.61	-4.31619	0.102993	0.102993	0.0172113	0.0172113	-2.273096	-1.789092	0.03233145	1.143383	0.01001952	0.09792168	0.0233331	0.772659	0.0224532	0.181554	0.0888839	0.0888839	1.03915	1.03915	-2.420425	2.458832
16	-56847.5	-56843.44	-4.057239	0.125966	0.125966	0.0313619	0.0313619	-2.071742	-1.390421	0.04771243	1.10183	0.01001952	0.1227524	0.0233331	0.772659	0.0224532	0.181554	0.0653687	0.0653687	0.919236	0.919236	-2.727712	2.6435
17	-56326.38	-56325.21	-1.161266	0.0158651	0.0158651	0.00579473	0.00579473	-4.143637	-1.00717	0.1660748	0.6279694	0.000220466	0.04120805	0.00593795	0.196631	0.595752	0.201678	0.0486531	0.0486531	0.293536	0.293536	-3.023039	1.797282
18	-56147.46	-56146.56	-0.9051476	0.0345695	0.0345695	0.0515687	0.0515687	-3.364783	0.3999437	0.1568036	0.4964881	0.002285631	0.04120805	0.00593795	0.196631	0.595752	0.201678	0.0537018	0.0537018	0.323995	0.323995	-2.924309	1.797282
19	-56561.92	-56560.52	-1.402004	0.0479032	0.0479032	0.0425308	0.0425308	-3.038574	-0.1189522	0.1568036	0.2102779	0.02926854	0.04120805	0.00593795	0.196631	0.595752	0.201678	0.0528035	0.0528035	0.24964	0.24964	-2.941178	1.553443
20	-56828.88	-56826.89	-1.995849	0.0479032	0.0479032	0.0425308	0.0425308	-3.038574	-0.1189522	0.4538447	0.4689174	0.02926854	0.03319791	0.00669187	0.221597	0.544427	0.227285	0.0397626	0.0397626	0.187298	0.187298	-3.224827	1.549771
21	-56340.57	-56338.83	-1.747733	0.0145101	0.0145101	0.0128828	0.0128828	-4.232913	-0.1189522	0.3758193	0.2963579	0.001874837	0.03319791	0.00840721	0.303995	0.628544	0.0590537	0.0381834	0.0381834	0.227114	0.227114	-3.265355	1.78305
22	-56454.36	-56452	-2.360393	0.0351474	0.0351474	0.0312056	0.0312056	-3.348205	-0.1189522	1.151312	0.3396722	0.002208483	0.0769853	0.00840721	0.303995	0.628544	0.0590537	0.0297878	0.0297878	0.177177	0.177177	-3.513657	1.78305
23	-56617.46	-56613.35	-4.112139	0.0151286	0.0151286	0.0134319	0.0134319	-4.19117	-0.1189522	1.388701	0.01134908	0.004662729	0.0769853	0.00885853	0.0058526	0.662286	0.323002	0.0173164	0.0173164	0.102997	0.102997	-4.056104	1.78305
24	-56595.43	-56593.53	-1.894379	0.0151286	0.0151286	0.0538075	0.0538075	-4.19117	1.268827	0.2098018	0.003736331	0.004662729	0.004415261	0.0171333	0.113898	0.845296	0.0236725	0.0229636	0.0229636	0.136587	0.136587	-3.773846	1.78305
25	-56624.43	-56619.77	-4.655227	0.0151286	0.0151286	0.0280875	0.0280875	-4.19117	0.6187386	1.167248	0.03237823	0.01825235	0.1062795	0.0149252	0.228096	0.736357	0.0206217	0.0229636	0.0229636	0.136587	0.136587	-3.773846	1.78305
26	-56383.46	-56381.47	-1.982819	0.0214219	0.0214219	0.0397716	0.0397716	-3.84334	0.6187386	0.1428432	0.03237823	0.01222374	0.02091092	0.0507617	0.775771	0.0797868	0.0936803	0.0256923	0.0256923	0.152817	0.152817	-3.661563	1.78305
27	-55968.5	-55967.39	-1.110506	0.0229782	0.0229782	0.042661	0.042661	-3.773209	0.6187386	0.03823789	0.1512949	0.006926447	0.02091092	0.190255	0.661769	0.068062	0.0799137	0.0427291	0.0427291	0.225703	0.225703	-3.152875	1.664342
28	-56255.86	-56253.73	-2.129623	0.0103736	0.0103736	0.0227089	0.0227089	-4.568494	0.783496	0.2687966	0.3111557	0.003578475	0.01115957	0.27777	0.506187	0.0993696	0.116673	0.0366949	0.0366949	0.193829	0.193829	-3.305118	1.664342
29	-56112.31	-56109.57	-2.743111	0.0103736	0.0103736	0.0227089	0.0227089	-4.568494	0.783496	0.03206905	0.0968949	0.004435776	0.09238346	0.501154	0.374901	0.0658231	0.0581224	0.0494454	0.0494454	0.26118	0.26118	-3.006887	1.664342
30	-56180.67	-56178.28	-2.393946	0.0129609	0.0129609	0.0332575	0.0332575	-4.345815	0.9423414	0.1038146	0.3249797	0.00184801	0.09238346	0.474095	0.199649	0.173263	0.152993	0.0494454	0.0494454	0.26118	0.26118	-3.006887	1.664342
31	-56318.99	-56317.44	-1.545231	0.0181156	0.0181156	0.0113429	0.0113429	-4.010984	-0.4681807	0.220647	0.3086143	0.0009840621	0.09238346	0.133875	0.328806	0.285351	0.251968	0.0382119	0.0382119	0.201843	0.201843	-3.264608	1.664342
32	-56799.28	-56796.95	-2.33246	0.0186388	0.0186388	0.0361576	0.0361576	-3.982512	0.6626439	0.5618152	0.3663619	0.0009840621	0.09238346	0.0536217	0.731164	0.114293	0.100922	0.0261537	0.0261537	0.138149	0.138149	-3.643765	1.664342
33	-56499.5	-56496.3	-3.198275	0.0169485	0.0169485	0.0239503	0.0239503	-4.077573	0.3458007	1.070348	0.9033393	0.002749332	0.09238346	0.0490432	0.565673	0.104534	0.280749	0.0439154	0.0439154	0.180342	0.180342	-3.125489	1.412587
34	-56895.54	-56894.5	-1.04018	0.0812146	0.0812146	0.114766	0.114766	-2.510661	0.3458007	1.070348	0.2143395	0.02094413	0.00501455	0.0401024	0.462549	0.267781	0.229568	0.0439154	0.0439154	0.210299	0.210299	-3.125489	1.566264
35	-57037.73	-57037.78	0.04458152	0.0812146	0.0812146	0.114766	0.114766	-2.510661	0.3458007	0.2932438	0.0983163	0.02094413	0.00501455	0.0404572	0.466641	0.27015	0.222752	0.0439154	0.0439154	0.173625	0.173625	-3.125489	1.374629
36	-56563.32	-56561.73	-1.596141	0.0648209	0.0648209	0.0319953	0.0319953	-2.736128	-0.7060402	0.2866638	0.2722178	0.02094413	0.05363003	0.0211381	0.72133	0.141148	0.116383	0.0439154	0.0439154	0.173625	0.173625	-3.125489	1.374629
37	-56376.47	-56373.28	-3.190137	0.0584491	0.0584491	0.0140025	0.0140025	-2.839598	-1.428919	1.479281	0.7293483	0.006195659	0.03453665	0.0215601	0.735732	0.0652755	0.177432	0.0439154	0.0439154	0.173625	0.173625	-3.125489	1.374629
38	-56535.11	-56531.39	-3.722358	0.179145	0.179145	0.0429175	0.0429175	-1.719557	-1.428919	1.624094	0.4862159	0.006149515	0.08162663	0.022909	0.781763	0.0693595	0.125968	0.0439154	0.0439154	0.197481	0.197481	-3.125489	1.503377
39	-56472.9	-56468.53	-4.367019	0.179145	0.179145	0.0429175	0.0429175	-1.719557	-1.428919	2.612191	0.6738766	0.006149515	0.03121174	0.00810105	0.0496846	0.89767	0.0445446	0.0439154	0.0439154	0.197481	0.197481	-3.125489	1.503377
40	-56497.22	-56494.72	-2.498646	0.179145	0.179145	0.0670968	0.0670968	-1.719557	-0.9820612	1.58225	0.3741274	0.006149515	0.03121174	0.0248739	0.152554	0.6858	0.136772	0.0439154	0.0439154	0.197481	0.197481	-3.125489	1.503377
41	-56763.49	-56762.42	-1.076662	0.179145	0.179145	0.0997985	0.0997985	-1.719557	-0.5850448	0.722579	0.03768866	0.01683602	0.0122447	0.0248739	0.152554	0.6858	0.136772	0.0400159	0.0400159	0.179946	0.179946	-3.218478	1.503377
42	-56805.63	-56804.8	-0.8384475	0.179145	0.179145	0.0777703	0.0777703	-1.719557	-0.8344378	0.1171403	0.03499127	0.00468528	0.07268669	0.0438834	0.269142	0.431777	0.255197	0.0516147	0.0516147	0.240819	0.240819	-2.96395	1.540239
43	-56983.8	-56981.8	-2.006576	0.31664	0.31664	0.137459	0.137459	-1.149988	-0.8344378	1.854362	0.5140072	0.001031912	0.02188276	0.0406909	0.249562	0.473115	0.236632	0.0516147	0.0516147	0.240819	0.240819	-2.96395	1.540239
44	-56878.44	-56876.49	-1.951802	0.31664	0.31664	0.137459	0.137459	-1.149988	-0.8344378	0.7627348	0.1733697	0.01575181	0.02188276	0.0691911	0.424357	0.104082	0.40237	0.0516147	0.0516147	0.240819	0.240819	-2.96395	1.540239
45	-56446.5	-56445.52	-0.983092	0.0351022	0.0351022	0.0152385	0.0152385	-3.349491	-0.8344378	0.7533508	0.2741982	0.008915302	0.01782749	0.672842	0.149151	0.0365825	0.141424	0.0516147	0.0516147	0.137719	0.137719	-2.96395	0.9814077
46	-56131.33	-56128.23	-3.104142	0.0196623	0.0196623	0.00243664	0.00243664	-3.929052	-2.088084	0.1401557	0.2259266	0.008915302	0.01782749	0.490559	0.377298	0.0266717	0.105472	0.0525321	0.0525321	0.209635	0.209635	-2.946332	1.383943
47	-56225.09	-56224.08	-1.002748	0.0145532	0.0145532	0.00627405	0.00627405	-4.229945	-0.8413879	0.1401557	0.2342165	0.0004939968	0.07602249	0.410577	0.315782	0.0223231	0.251318	0.0525321	0.0525321	0.210309	0.210309	-2.946332	1.387153
48	-56629.09	-56628.63	-0.4636399	0.00920838	0.00920838	0.00396984	0.00396984	-4.687641	-0.8413879	0.3063456	0.2342165	3.165906e-05	0.07602249	0.32186	0.463627	0.0174996	0.197013	0.0573066	0.0573066	0.228264	0.228264	-2.85934	1.382086
49	-56526.01	-56525.68	-0.3235963	0.0178075	0.0178075	0.007677	0.007677	-4.028138	-0.8413879	0.6949359	0.5697042	3.165906e-05	0.07602249	0.31425	0.412926	0.0170858	0.255738	0.0453463	0.0453463	0.180624	0.180624	-3.093426	1.382086
50	-56829.64	-56831.57	1.93202	0.0307912	0.0307912	0.0506466	0.0506466	-3.480526	0.497642	0.3655943	0.4275354	3.944349e-06	0.07602249	0.315501	0.414569	0.0131742	0.256756	0.0411198	0.0411198	0.163789	0.163789	-3.191265	1.382086
51	-56521.13	-56523.49	2.361361	0.0182084	0.0182084	0.0299498	0.0299498	-4.005874	0.497642	0.2511419	0.3481716	5.749757e-07	0.07602249	0.0148754	0.591981	0.0191877	0.373955	0.0401879	0.0401879	0.189512	0.189512	-3.214189	1.550887
