Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
0	-55898.21	-55891.14	-7.070764	0.00997704	0.0791071	0.00351248	0.0278502	-4.60747	-2.53695	-1.04396	1.76337	0.01135677	0.2217513	0.005126447	0.02994741	0.417045	0.201864	0.323266	0.0578252	0.0746821	0.077841	0.248712	0.259232	-2.59452	-2.55309	1.20306	0.408206
1	-55877.72	-55872.04	-5.681705	0.0227966	0.0311366	0.00523304	0.00714752	-3.78114	-3.46937	-1.47162	-0.680429	0.002758461	0.2338993	0.006129129	0.02994741	0.241997	0.0800317	0.644418	0.0335539	0.0876234	0.0865196	0.291811	0.288134	-2.43471	-2.44738	1.20306	0.408206
2	-55903.99	-55900.65	-3.332435	0.0790131	0.130852	0.0333201	0.0551808	-2.53814	-2.03369	-0.863454	-0.680429	0.003281247	0.1965322	0.007500262	0.02226801	0.251774	0.1561	0.562821	0.0293053	0.0876234	0.0815695	0.29652	0.276034	-2.43471	-2.5063	1.21907	0.0519713
3	-55956.2	-55952.84	-3.357979	0.0283078	0.130852	0.0149206	0.0689704	-3.56462	-2.03369	-0.640391	0.0957304	0.006870883	0.2395057	0.01517723	0.008069251	0.298804	0.187864	0.478064	0.0352685	0.0880114	0.0938001	0.297833	0.317422	-2.43029	-2.36659	1.21907	0.0519713
4	-55928.67	-55924.2	-4.475239	0.0283078	0.130852	0.0149206	0.0689704	-3.56462	-2.03369	-0.640391	0.0957304	0.005884584	0.1966917	0.01517723	0.02364026	0.199542	0.211317	0.537746	0.0513956	0.0880114	0.0973153	0.297833	0.329318	-2.43029	-2.3298	1.21907	0.660912
5	-55964.86	-55961.54	-3.319932	0.089515	0.138204	0.0471821	0.0728456	-2.41335	-1.97902	-0.640391	0.0957304	0.007044076	0.2582837	0.004934039	0.02586987	0.190718	0.482484	0.254039	0.0727587	0.0880114	0.0973153	0.297833	0.329318	-2.43029	-2.3298	1.21907	0.517949
6	-55939.05	-55935.24	-3.810832	0.089515	0.0294772	0.0292798	0.00964179	-2.41335	-3.52414	-1.11751	0.0957304	0.00869233	0.2086803	0.003283671	0.02586987	0.328278	0.361168	0.25609	0.0544642	0.101471	0.081887	0.288956	0.233186	-2.28798	-2.50242	1.0465	0.517949
7	-55967.53	-55963.72	-3.811901	0.089515	0.0685841	0.0292798	0.0224334	-2.41335	-2.67969	-1.11751	0.0957304	0.003510036	0.2177089	0.003044115	0.06764815	0.185777	0.204389	0.144925	0.464909	0.107858	0.0879544	0.307143	0.250464	-2.22694	-2.43094	1.0465	0.517949
8	-55963.9	-55959.77	-4.125229	0.0363267	0.0685841	0.0299797	0.0566012	-3.3152	-2.67969	-0.192031	0.0957304	0.02696731	0.2325751	0.008779794	0.030323	0.110277	0.121325	0.492429	0.275969	0.0923911	0.10236	0.282311	0.312771	-2.38172	-2.27926	1.11698	0.878049
9	-55894.37	-55889.76	-4.616156	0.0186536	0.0685841	0.0153945	0.0566012	-3.98172	-2.67969	-0.192031	0.0957304	0.002002498	0.2133802	0.008779794	0.02214291	0.20383	0.224252	0.0618287	0.510089	0.0920819	0.10236	0.297616	0.330834	-2.38508	-2.27926	1.17312	0.878049
10	-55906.03	-55901.28	-4.744845	0.0129346	0.0591385	0.0106747	0.0488059	-4.34785	-2.82787	-0.192031	-0.0992536	0.002043858	0.1953611	0.003868363	0.02214291	0.191336	0.122989	0.206855	0.478821	0.0760277	0.10236	0.245727	0.330834	-2.57666	-2.27926	1.17312	0.878049
