Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
0	-57759.95	-57766.29	6.33943	0.021195	0.0364191	0.039828	0.0799734	0.00514087	0.00883352	0.00966034	0.0193977	-3.85399	-3.31266	-3.22319	-2.52606	-1.41654	-0.410092	0.002940715	0.1542633	0.01221374	0.004805455	0.02182061	0.008537107	0.01383355	0.01965594	0.0592764	0.002519423	0.101286	0.0108015	0.280155	0.0430822	0.0138127	0.0749026	0.377301	0.0986583	0.0695588	0.0760499	0.0589469	0.06413	0.249443	0.272721	0.211388	0.229975	-2.66558	-2.57637	-2.83112	-2.74684	1.27706	0.371218
1	-57744.96	-57748.05	3.088987	0.0137685	0.00984659	0.039828	0.0799734	0.00141829	0.0010143	0.00410269	0.00823808	-4.28538	-4.62063	-3.22319	-2.52606	-2.27293	-0.410092	0.002940715	0.1395222	0.007762766	0.004088315	0.02182061	0.01047207	0.01554627	0.01965594	0.03854071	0.002519423	0.101286	0.0108015	0.280155	0.0430822	0.0138127	0.0749026	0.377301	0.0986583	0.0695588	0.0781402	0.0589469	0.0668403	0.242759	0.272708	0.205724	0.233272	-2.66558	-2.54925	-2.83112	-2.70545	1.2499	0.371218
2	-57756.85	-57760.57	3.722604	0.0137685	0.0437332	0.0208724	0.0433412	0.00746389	0.0237078	0.011315	0.0234953	-4.28538	-3.12965	-3.86933	-3.13865	-0.612303	-0.410092	0.00256356	0.1388696	0.01050748	0.004088315	0.02182061	0.01047207	0.01554627	0.01965594	0.05886519	9.250506e-05	0.156307	0.0166691	0.432341	0.0664854	0.0282346	0.115591	0.0321189	0.152252	0.0695588	0.0768784	0.0651625	0.0668403	0.245856	0.271727	0.230317	0.236247	-2.66558	-2.56553	-2.73087	-2.70545	1.26257	4.30049
3	-57762.8	-57770.15	7.34481	0.0171686	0.0625578	0.017323	0.0439736	0.00930711	0.0339127	0.00939082	0.0238381	-4.06467	-2.77166	-4.05572	-3.12417	-0.612303	-1.13554	0.0006207348	0.1527041	0.009349332	0.003705042	0.02045196	0.01047207	0.03627233	0.01965594	0.05886519	9.250506e-05	0.184021	0.0196245	0.508995	0.0454328	0.0332406	0.136086	0.0378135	0.0347869	0.0695588	0.0763746	0.0725932	0.0668403	0.245856	0.269946	0.256581	0.236247	-2.66558	-2.57211	-2.62288	-2.70545	1.26257	0.0799507
4	-57783.05	-57789.68	6.630539	0.0196224	0.0236096	0.0321294	0.0811647	0.0106373	0.0127988	0.0174174	0.0439995	-3.93108	-3.7461	-3.43799	-2.51127	-0.612303	-1.13554	4.773583e-05	0.1478335	0.008250006	0.003705042	0.02045196	0.01047207	0.03627233	0.01178474	0.06545314	0.00180317	0.519731	0.0113592	0.311487	0.0262978	0.0192406	0.0698617	0.0218875	0.0201357	0.0782291	0.0779672	0.0710343	0.0736367	0.260068	0.259197	0.236149	0.2448	-2.54811	-2.55147	-2.64459	-2.60861	1.2013	0.0501661
5	-57769.1	-57776.6	7.50197	0.0196224	0.0627763	0.0367384	0.0811647	0.0106373	0.0340311	0.0199159	0.0439995	-3.93108	-2.76818	-3.30393	-2.51127	-0.612303	1.32851	6.924335e-05	0.1511895	0.008497543	0.005064493	0.02045196	0.007535016	0.02602056	0.01178474	0.04772519	0.00180317	0.619505	0.0135399	0.109334	0.101323	0.0229342	0.0832733	0.0260893	0.0240012	0.0707052	0.0782526	0.0763899	0.0736367	0.235055	0.260146	0.253953	0.2448	-2.64924	-2.54781	-2.57191	-2.60861	1.2013	0.0501661
6	-57792.72	-57799.32	6.595398	0.0196224	0.0627763	0.0367384	0.0654129	0.0106373	0.0340311	0.0199159	0.0354604	-3.93108	-2.76818	-3.30393	-2.72704	-0.612303	-0.00785238	0.002438413	0.1582934	0.008497543	0.005064493	0.02172784	0.007535016	0.01346165	0.01178474	0.0384145	0.01472375	0.357178	0.0245024	0.197856	0.183358	0.0415029	0.104956	0.0472125	0.0434337	0.0710862	0.0924547	0.0763899	0.0600995	0.255088	0.331768	0.27412	0.215663	-2.64386	-2.38104	-2.57191	-2.81175	1.27772	1.03235
7	-57761.59	-57769.39	7.802262	0.0167999	0.0478039	0.0277761	0.0654129	0.00910723	0.0259146	0.0150574	0.0354604	-4.08638	-3.04065	-3.58358	-2.72704	-0.612303	1.06675	0.005093911	0.1376028	0.008984869	0.005064493	0.02396152	0.007535016	0.03469652	0.01727285	0.0384145	0.0001427857	0.310687	0.151476	0.172103	0.159492	0.0361008	0.0912945	0.0410672	0.0377802	0.0652259	0.0793155	0.0671163	0.0701696	0.234059	0.284618	0.240842	0.251799	-2.7299	-2.53432	-2.70133	-2.65684	1.27772	0.278228
8	-57758.15	-57763.62	5.468069	0.0159058	0.0478039	0.0126712	0.013088	0.00962321	0.028922	0.00766622	0.00791843	-4.14107	-3.04065	-4.36843	-4.33606	-0.502504	1.06675	0.003739047	0.1274654	0.008984869	0.002939004	0.02396152	0.007535016	0.02579961	0.01727285	0.06530044	0.0001427857	0.207133	0.113323	0.11474	0.106332	0.203432	0.0608654	0.168987	0.0251878	0.062042	0.0773484	0.0607868	0.0581044	0.222634	0.27756	0.218129	0.208504	-2.77994	-2.55944	-2.80038	-2.84551	1.27772	0.278228
9	-57770.65	-57774.59	3.938468	0.00682844	0.0111653	0.02778	0.0504614	0.00697775	0.0114094	0.0283874	0.0515648	-4.98666	-4.49495	-3.58344	-2.98655	0.0216308	1.46662	0.0001838487	0.1348471	0.006001219	0.002939004	0.02396152	0.006305021	0.02579961	0.01029157	0.06530044	0.002009039	0.215538	0.117921	0.0916461	0.110647	0.211687	0.0505087	0.175843	0.0262099	0.0650238	0.0773484	0.0688304	0.0586061	0.244032	0.290286	0.258319	0.219947	-2.733	-2.55944	-2.67611	-2.83692	1.32255	0.0246294
