Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha	speciation_beta
0	-58213.44	-58231.3	17.85698	0.0936812	0.0936812	0.0936812	0.0936812	0.0934919	0.0934919	0.0934919	0.0934919	-2.367857	-0.002022986	0.09607088	0.1659401	0.01111779	0.004715525	0.01096844	0.008155432	0.04099717	0.0005988017	0.03588049	0.008455717	0.0826079	0.326536	0.170597	0.0830436	0.018654	0.0232145	0.0750138	0.220333	0.0618357	0.0618357	0.0618357	0.0618357	0.275287	0.275287	0.275287	0.275287	-2.783275	1.493332
1	-58014.04	-58030.01	15.96927	0.0308287	0.0308287	0.0308287	0.0308287	0.0307664	0.0307664	0.0307664	0.0307664	-3.479309	-0.002022986	0.05839792	0.1473434	0.01104228	0.004715525	0.02663536	0.008155432	0.04099717	0.009247313	0.03542506	0.008455717	0.0740928	0.292878	0.320092	0.0744837	0.0494901	0.0208216	0.0672816	0.10086	0.0796331	0.0796331	0.0796331	0.0796331	0.260049	0.260049	0.260049	0.260049	-2.530326	1.183442
2	-57946.97	-57958.33	11.36108	0.00570652	0.00570652	0.00570652	0.00570652	0.00268385	0.00268385	0.00268385	0.00268385	-5.166145	-0.7543562	0.01978803	0.179444	0.01578299	0.003087039	0.02663536	0.008150738	0.0501909	0.06132363	0.03885662	0.03343981	0.0540608	0.299168	0.326967	0.0760833	0.0506997	0.0212687	0.0687266	0.103026	0.0743449	0.0743449	0.0743449	0.0743449	0.248521	0.248521	0.248521	0.248521	-2.599041	1.206812
3	-58000.72	-58012.06	11.33983	0.00570652	0.00570652	0.00570652	0.00570652	0.0024389	0.0024389	0.0024389	0.0024389	-5.166145	-0.8500616	0.01102464	0.2653588	0.01138147	0.003087039	0.02663536	0.008649669	0.0501909	0.06132363	0.03756793	0.03343981	0.0471575	0.260965	0.285215	0.0663678	0.0442256	0.182619	0.0599505	0.0534991	0.0716362	0.0716362	0.0716362	0.0716362	0.243083	0.243083	0.243083	0.243083	-2.636155	1.221803
4	-57867.25	-57880.77	13.51984	0.00570652	0.00570652	0.00570652	0.00570652	0.00302676	0.00302676	0.00302676	0.00302676	-5.166145	-0.6341157	0.0137612	0.1199625	0.01138147	0.003217483	0.02663536	0.001524055	0.0501909	0.009919739	0.03756793	0.03343981	0.0555448	0.291685	0.17378	0.0781719	0.0520915	0.2151	0.0706132	0.0630144	0.0729424	0.0729424	0.0729424	0.0729424	0.23394	0.23394	0.23394	0.23394	-2.618085	1.165394
5	-57998.58	-58014.4	15.81331	0.03167	0.03167	0.03167	0.03167	0.0617747	0.0617747	0.0617747	0.0617747	-3.452384	0.6681227	0.006859614	0.1411969	0.006426695	0.003451593	0.02663536	0.003224588	0.0501909	0.01937803	0.03756793	0.02793867	0.0630275	0.289374	0.172403	0.0775526	0.0516787	0.213396	0.0700538	0.0625151	0.0798997	0.0798997	0.0798997	0.0798997	0.208526	0.208526	0.208526	0.208526	-2.526983	0.9592941
6	-57850.04	-57865.1	15.0596	0.0189982	0.0189982	0.0189982	0.0189982	0.0371883	0.0371883	0.0371883	0.0371883	-3.963412	0.6716516	0.0006115257	0.07394674	0.006332763	0.003451593	0.02663536	0.003577719	0.0501909	0.01937803	0.03756793	0.02793867	0.067754	0.311074	0.113169	0.0833684	0.0527251	0.229399	0.0753072	0.0672032	0.0717935	0.0717935	0.0717935	0.0717935	0.239028	0.239028	0.239028	0.239028	-2.633961	1.202786
7	-57846.02	-57861.68	15.65816	0.0352416	0.0352416	0.0352416	0.0352416	0.0689843	0.0689843	0.0689843	0.0689843	-3.345529	0.6716516	0.0006115257	0.1387381	0.006332763	0.003451593	0.02663536	0.003577719	0.03939541	0.01048337	0.03756793	0.05075346	0.067754	0.311074	0.113169	0.0833684	0.0527251	0.229399	0.0753072	0.0672032	0.0864167	0.0864167	0.0864167	0.0864167	0.315944	0.315944	0.315944	0.315944	-2.448575	1.296384
8	-57962.7	-57978.28	15.583	0.0352416	0.0352416	0.0352416	0.0352416	0.0689843	0.0689843	0.0689843	0.0689843	-3.345529	0.6716516	0.001144931	0.1478248	0.002434893	0.003451593	0.02663536	0.003577719	0.04814822	0.05743015	0.03756793	0.01870482	0.0763251	0.350426	0.127485	0.0939147	0.0593949	0.131915	0.0848338	0.0757046	0.0864167	0.0864167	0.0864167	0.0864167	0.339564	0.339564	0.339564	0.339564	-2.448575	1.368481
9	-58081.93	-58099.02	17.08383	0.0657103	0.0657103	0.0657103	0.0657103	0.102097	0.102097	0.102097	0.102097	-2.722499	0.4406655	0.0006273161	0.2327041	0.0008387767	0.003451593	0.05430584	0.002196924	0.07342376	0.00499532	0.05160427	0.02392442	0.0763251	0.350426	0.127485	0.0939147	0.0593949	0.131915	0.0848338	0.0757046	0.0864167	0.0864167	0.0864167	0.0864167	0.339564	0.339564	0.339564	0.339564	-2.448575	1.368481
10	-58126.4	-58142.37	15.97069	0.0256623	0.0256623	0.0256623	0.0256623	0.014546	0.014546	0.014546	0.014546	-3.662734	-0.567705	0.002753679	0.1161346	0.00159571	0.001739213	0.05430584	0.002196924	0.07342376	0.01017841	0.05160427	0.06779226	0.0831331	0.135593	0.138857	0.102292	0.0646928	0.143682	0.249293	0.0824573	0.0994873	0.0994873	0.0994873	0.0994873	0.280555	0.280555	0.280555	0.280555	-2.307725	1.036738
