state	power	likelihood
300	1	-58307.1
400	1	-58303.8
500	1	-58307.9
600	1	-58305
700	1	-58304.2
800	1	-58306.1
900	1	-58302.7
1000	1	-58303.7
300	0.903921	-58305.8
400	0.903921	-58302.8
500	0.903921	-58319.9
600	0.903921	-58305.7
700	0.903921	-58305.8
800	0.903921	-58305.4
900	0.903921	-58303.7
1000	0.903921	-58306.1
300	0.815373	-58310.7
400	0.815373	-58307.7
500	0.815373	-58310.4
600	0.815373	-58316
700	0.815373	-58308.2
800	0.815373	-58308.2
900	0.815373	-58305.2
1000	0.815373	-58307.1
300	0.733904	-58310.8
400	0.733904	-58307.5
500	0.733904	-58308.8
600	0.733904	-58311.8
700	0.733904	-58318.4
800	0.733904	-58311.7
900	0.733904	-58308.1
1000	0.733904	-58312.3
300	0.659082	-58303.9
400	0.659082	-58312.2
500	0.659082	-58309.4
600	0.659082	-58313.2
700	0.659082	-58308.7
800	0.659082	-58305.2
900	0.659082	-58311.8
1000	0.659082	-58309.9
300	0.59049	-58308.1
400	0.59049	-58320.9
500	0.59049	-58310.8
600	0.59049	-58315.1
700	0.59049	-58314.8
800	0.59049	-58316.6
900	0.59049	-58310.6
1000	0.59049	-58310.6
300	0.527732	-58311.1
400	0.527732	-58313.1
500	0.527732	-58334.7
600	0.527732	-58314.1
700	0.527732	-58312.3
800	0.527732	-58325.3
900	0.527732	-58312
1000	0.527732	-58315.9
300	0.470427	-58315.4
400	0.470427	-58328.1
500	0.470427	-58331.3
600	0.470427	-58313
700	0.470427	-58317.2
800	0.470427	-58318.4
900	0.470427	-58310.1
1000	0.470427	-58311.6
300	0.418212	-58334.8
400	0.418212	-58315.9
500	0.418212	-58329
600	0.418212	-58321.1
700	0.418212	-58312.3
800	0.418212	-58315.2
900	0.418212	-58317.9
1000	0.418212	-58313.7
300	0.37074	-58332.7
400	0.37074	-58320.8
500	0.37074	-58318.5
600	0.37074	-58317.5
700	0.37074	-58328.1
800	0.37074	-58313
900	0.37074	-58331.3
1000	0.37074	-58321.9
300	0.32768	-58324.4
400	0.32768	-58324.6
500	0.32768	-58318
600	0.32768	-58339.8
700	0.32768	-58315.7
800	0.32768	-58331.9
900	0.32768	-58318.4
1000	0.32768	-58335.1
300	0.288717	-58338.6
400	0.288717	-58323
500	0.288717	-58325.8
600	0.288717	-58322.2
700	0.288717	-58323.8
800	0.288717	-58342.1
900	0.288717	-58326.1
1000	0.288717	-58338.5
300	0.253553	-58343.5
400	0.253553	-58333.2
500	0.253553	-58331.9
600	0.253553	-58329.8
700	0.253553	-58332.7
800	0.253553	-58324
900	0.253553	-58331.9
1000	0.253553	-58326.7
300	0.221901	-58332.4
400	0.221901	-58322.4
500	0.221901	-58330.6
600	0.221901	-58352.3
700	0.221901	-58362.2
800	0.221901	-58328
900	0.221901	-58324.7
1000	0.221901	-58326
300	0.193492	-58348.9
400	0.193492	-58322.7
500	0.193492	-58351.2
600	0.193492	-58320.5
700	0.193492	-58374.2
800	0.193492	-58344.1
900	0.193492	-58350.5
1000	0.193492	-58335.6
300	0.16807	-58347.6
400	0.16807	-58336.1
500	0.16807	-58358.2
600	0.16807	-58388.4
700	0.16807	-58340.7
800	0.16807	-58349.5
900	0.16807	-58346.9
1000	0.16807	-58374.1
300	0.145393	-58340.3
400	0.145393	-58363
500	0.145393	-58326.8
600	0.145393	-58345.6
700	0.145393	-58319.6
800	0.145393	-58351.6
900	0.145393	-58346
1000	0.145393	-58376.3
300	0.125233	-58351.3
400	0.125233	-58363.8
500	0.125233	-58344.9
600	0.125233	-58367.3
700	0.125233	-58346.1
800	0.125233	-58352
900	0.125233	-58370.2
1000	0.125233	-58382.1
300	0.107374	-58435.6
400	0.107374	-58337.1
500	0.107374	-58381.4
600	0.107374	-58329.7
700	0.107374	-58381
800	0.107374	-58381.9
900	0.107374	-58363.1
1000	0.107374	-58358.4
300	0.0916133	-58385.9
400	0.0916133	-58344.2
500	0.0916133	-58372.1
600	0.0916133	-58376.4
700	0.0916133	-58405.8
800	0.0916133	-58352
900	0.0916133	-58364.5
1000	0.0916133	-58373.8
300	0.07776	-58379.7
400	0.07776	-58413.2
500	0.07776	-58405
600	0.07776	-58432.7
700	0.07776	-58428.4
800	0.07776	-58396
900	0.07776	-58349.1
1000	0.07776	-58410.5
300	0.0656357	-58359.6
400	0.0656357	-58419.1
500	0.0656357	-58392.5
600	0.0656357	-58436.5
700	0.0656357	-58390.9
800	0.0656357	-58395.7
900	0.0656357	-58428.5
1000	0.0656357	-58389.3
300	0.0550732	-58404.9
400	0.0550732	-58484.2
500	0.0550732	-58370.5
600	0.0550732	-58491.5
700	0.0550732	-58407.6
800	0.0550732	-58459.7
900	0.0550732	-58468.1
1000	0.0550732	-58416.1
300	0.0459165	-58429.9
400	0.0459165	-58468.2
500	0.0459165	-58440.4
600	0.0459165	-58406.9
700	0.0459165	-58532.8
800	0.0459165	-58374.5
900	0.0459165	-58458.1
1000	0.0459165	-58525.6
300	0.0380204	-58516.8
400	0.0380204	-58410.1
500	0.0380204	-58553
600	0.0380204	-58394.7
700	0.0380204	-58464.5
800	0.0380204	-58510.7
900	0.0380204	-58558.4
1000	0.0380204	-58561.3
300	0.03125	-58583
400	0.03125	-58581.6
500	0.03125	-58621.6
600	0.03125	-58584.9
700	0.03125	-58655.7
800	0.03125	-58530.3
900	0.03125	-58469
1000	0.03125	-58654.9
300	0.0254804	-58594.8
400	0.0254804	-58569.5
500	0.0254804	-58725.9
600	0.0254804	-58757.1
700	0.0254804	-58535.7
800	0.0254804	-58455.4
900	0.0254804	-58437.7
1000	0.0254804	-58772.9
300	0.0205963	-58711.6
400	0.0205963	-58526.2
500	0.0205963	-58717.9
600	0.0205963	-58733.1
700	0.0205963	-58634.2
800	0.0205963	-59036.7
900	0.0205963	-58698.9
1000	0.0205963	-58775.1
300	0.0164916	-58843.4
400	0.0164916	-58573.4
500	0.0164916	-58718.2
600	0.0164916	-58736.6
700	0.0164916	-58871.7
800	0.0164916	-59080.5
900	0.0164916	-58461.9
1000	0.0164916	-58951.4
300	0.0130691	-58771.9
400	0.0130691	-58704.6
500	0.0130691	-58893.4
600	0.0130691	-59103.7
700	0.0130691	-59305.4
800	0.0130691	-59159.5
900	0.0130691	-58935.1
1000	0.0130691	-59533
300	0.01024	-59320
400	0.01024	-59109.8
500	0.01024	-59215.7
600	0.01024	-60278.6
700	0.01024	-58895.5
800	0.01024	-58978
900	0.01024	-59327.7
1000	0.01024	-59420.2
300	0.00792352	-59283.1
400	0.00792352	-59314.5
500	0.00792352	-59071.7
600	0.00792352	-59419.7
700	0.00792352	-58859.5
800	0.00792352	-59152.6
900	0.00792352	-58990.4
1000	0.00792352	-59116.9
300	0.00604662	-59492.2
400	0.00604662	-59322.6
500	0.00604662	-59094.5
600	0.00604662	-59604.3
700	0.00604662	-60488.5
800	0.00604662	-59690.4
900	0.00604662	-59461.7
1000	0.00604662	-59699
300	0.00454354	-59287
400	0.00454354	-60156.2
500	0.00454354	-59625.7
600	0.00454354	-59472.7
700	0.00454354	-61101.7
800	0.00454354	-59714.6
900	0.00454354	-59311.6
1000	0.00454354	-59230.4
300	0.00335544	-60873.3
400	0.00335544	-60515.2
500	0.00335544	-60758.4
600	0.00335544	-60290.5
700	0.00335544	-60124.2
800	0.00335544	-59571.6
900	0.00335544	-60259.1
1000	0.00335544	-60639.8
300	0.00243	-60246.5
400	0.00243	-60297.7
500	0.00243	-60719.2
600	0.00243	-60064.6
700	0.00243	-61428.3
800	0.00243	-59332.3
900	0.00243	-59424.9
1000	0.00243	-60142.3
300	0.00172104	-61622.8
400	0.00172104	-61573.5
500	0.00172104	-60394.5
600	0.00172104	-60142.2
700	0.00172104	-60345.4
800	0.00172104	-61368.4
900	0.00172104	-60565.4
1000	0.00172104	-61114.2
300	0.00118814	-60993.4
400	0.00118814	-61623.1
500	0.00118814	-64260.8
600	0.00118814	-60576.7
700	0.00118814	-64484.6
800	0.00118814	-62861.3
900	0.00118814	-62658.9
1000	0.00118814	-63570.6
300	0.000796262	-61870
400	0.000796262	-61849.2
500	0.000796262	-61883.6
600	0.000796262	-63525.1
700	0.000796262	-61614.1
800	0.000796262	-63343
900	0.000796262	-61931.1
1000	0.000796262	-60496.7
300	0.000515363	-61240.2
400	0.000515363	-61169.8
500	0.000515363	-61120.3
600	0.000515363	-65108.3
700	0.000515363	-63037.4
800	0.000515363	-62269.9
900	0.000515363	-65800.8
1000	0.000515363	-61403.5
300	0.00032	-63208.1
400	0.00032	-62880.4
500	0.00032	-63968.6
600	0.00032	-61635.2
700	0.00032	-61238.9
800	0.00032	-64421.7
900	0.00032	-62019.5
1000	0.00032	-62523.3
300	0.000188957	-68288.2
400	0.000188957	-62799.2
500	0.000188957	-62036.8
600	0.000188957	-67261.5
700	0.000188957	-65773.3
800	0.000188957	-64897.5
900	0.000188957	-62723.8
1000	0.000188957	-63267.9
300	0.000104858	-64535.4
400	0.000104858	-70819.9
500	0.000104858	-64443.6
600	0.000104858	-62662.5
700	0.000104858	-63860.3
800	0.000104858	-63814.6
900	0.000104858	-61862.1
1000	0.000104858	-62291
300	5.37824e-05	-63088.8
400	5.37824e-05	-68601.7
500	5.37824e-05	-66209.7
600	5.37824e-05	-65214.7
700	5.37824e-05	-67475.3
800	5.37824e-05	-66581.7
900	5.37824e-05	-68878.2
1000	5.37824e-05	-66125
300	2.48832e-05	-80968.5
400	2.48832e-05	-64964.4
500	2.48832e-05	-74084.3
600	2.48832e-05	-62261.3
700	2.48832e-05	-66508.8
800	2.48832e-05	-62011.4
900	2.48832e-05	-68881.6
1000	2.48832e-05	-68442.8
300	1e-05	-64090.7
400	1e-05	-70036.6
500	1e-05	-72845.4
600	1e-05	-86812.3
700	1e-05	-81785.9
800	1e-05	-72962.9
900	1e-05	-68536.8
1000	1e-05	-66006.4
300	3.2768e-06	-67028.8
400	3.2768e-06	-65775
500	3.2768e-06	-67465.2
600	3.2768e-06	-70804.7
700	3.2768e-06	-76515.9
800	3.2768e-06	-64567.6
900	3.2768e-06	-67010.1
1000	3.2768e-06	-62607.5
300	7.776e-07	-63760.9
400	7.776e-07	-73427.9
500	7.776e-07	-70412.2
600	7.776e-07	-64795.7
700	7.776e-07	-67951.2
800	7.776e-07	-68965.2
900	7.776e-07	-62000.9
1000	7.776e-07	-71724.7
300	1.024e-07	-63029.1
400	1.024e-07	-67080.2
500	1.024e-07	-66440.5
600	1.024e-07	-75748
700	1.024e-07	-73005.7
800	1.024e-07	-70156.3
900	1.024e-07	-76024.6
1000	1.024e-07	-75544.7
300	3.2e-09	-76343.8
400	3.2e-09	-66031.4
500	3.2e-09	-68301.5
600	3.2e-09	-62715.5
700	3.2e-09	-80440.5
800	3.2e-09	-67576
900	3.2e-09	-64051
1000	3.2e-09	-70243.1
300	1.16658e-302	-63131.8
400	1.16658e-302	-71645.6
500	1.16658e-302	-71313.5
600	1.16658e-302	-60327.8
700	1.16658e-302	-70188
800	1.16658e-302	-65892.2
900	1.16658e-302	-62032.7
1000	1.16658e-302	-64086.7
