Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
0	-73355.14	-73336.51	-18.63137	1.55772	0.139771	0.0853109	0.0477827	0.443224	-1.96775	-2.46145	-3.04109	-2.94328	-1.20687	-1.29635	-3.86962	0.3947018	0.00576965	0.2559739	1.119606	0.2188743	3.739104	0.5236407	0.5234947	0.432958	0.122742	0.389936	0.0543646	0.0526927	0.299134	0.273527	0.0208664
1	-63852.89	-63838.24	-14.64407	0.0565481	0.139771	0.0853109	0.0477827	-2.87266	-1.96775	-2.46145	-3.04109	-1.14329	-0.716703	-3.79732	-3.86962	0.3947018	0.01202627	0.2559739	1.119606	0.2188743	0.06708453	1.639395	1.151738	0.444525	0.0993047	0.400353	0.055817	0.31877	0.48836	0.0224307	0.0208664
2	-69517.88	-69505.44	-12.43869	0.0565481	0.139771	0.122891	0.0520208	-2.87266	-1.96775	-2.09646	-2.95611	-3.05725	-0.556785	-2.12015	-0.390805	0.0190814	0.05859232	0.569497	1.624746	0.2188743	1.610441	0.09758054	0.09819636	0.523993	0.117057	0.293155	0.0657954	0.0470168	0.573049	0.120014	0.676512
3	-62710.84	-62698.05	-12.79609	0.286913	0.0941432	0.0162845	0.046715	-1.24858	-2.36294	-4.11754	-3.06369	-3.48876	-4.00939	-2.7142	-0.390805	0.9787264	0.05859232	0.569497	0.04007592	0.3064532	0.2909849	0.4182028	0.09819636	0.523993	0.117057	0.293155	0.0657954	0.0305389	0.0181445	0.066258	0.676512
4	-65258.39	-65243.96	-14.43412	0.169108	0.0941432	0.102707	0.0413352	-1.77722	-2.36294	-2.27588	-3.18604	-2.50328	-4.00939	-1.32999	-0.390805	0.9787264	0.5185704	1.744737	0.02920936	0.3064532	0.2909849	0.4182028	0.1210122	0.523993	0.117057	0.293155	0.0657954	0.0818165	0.0181445	0.264479	0.676512
5	-70743.24	-70735.16	-8.079325	0.082817	0.518999	0.0337567	0.227033	-2.49112	-0.655854	-3.38858	-1.48266	-2.50328	-2.52338	-4.37273	-2.2528	0.04953085	0.5185704	0.2149265	0.02920936	0.3064532	0.3359896	0.0373569	0.1210122	0.502817	0.152739	0.281308	0.0631364	0.0818165	0.080188	0.0126167	0.105105
6	-77476.71	-77464.75	-11.95824	0.225922	0.517224	0.0868289	0.124267	-1.48756	-0.659279	-2.44382	-2.08532	-3.30686	-1.98003	-4.18837	-0.0169737	1.243494	0.05633823	0.2149265	0.9167542	0.3064532	0.1292436	0.006741931	0.1210122	0.502817	0.152739	0.281308	0.0631364	0.0366309	0.138065	0.0151709	0.98317
7	-70917.31	-70906.28	-11.02693	0.0867205	0.0664423	0.116082	0.360389	-2.44507	-2.71142	-2.15346	-1.02057	-0.185095	-1.98003	-4.18837	-0.0169737	0.05839978	1.32905	0.2493366	0.1085497	0.3064532	0.1292436	0.006693392	0.1210122	0.741327	0.0800536	0.147439	0.0311803	0.831025	0.138065	0.0151709	0.98317
8	-63750.81	-63740.05	-10.75381	0.0212597	0.135146	0.116082	0.360389	-3.85094	-2.0014	-2.15346	-1.02057	-1.90106	-1.45493	-2.05953	-1.00024	0.05839978	0.2989243	0.5680637	0.5204797	0.3064532	0.560197	0.2124381	0.05496918	0.504761	0.0545077	0.419501	0.0212303	0.14941	0.233417	0.127514	0.367792
9	-68658.51	-68646.33	-12.18405	0.339888	0.246384	0.152121	0.360389	-1.07914	-1.40086	-1.88308	-1.02057	-2.76055	-2.48063	-2.6834	-1.00024	0.01708505	0.2989243	0.5680637	0.5204797	0.06347999	0.560197	0.5538978	1.066852	0.504761	0.0545077	0.419501	0.0212303	0.0632571	0.0836909	0.0683304	0.367792
10	-62683.03	-62667.37	-15.65784	0.168277	0.246384	0.225881	0.360389	-1.78214	-1.40086	-1.48775	-1.02057	-1.63183	-0.428321	-1.14454	-1.43023	0.01708505	0.2989243	0.5680637	0.9829872	0.4442835	0.560197	0.5538978	1.156296	0.0749221	0.101817	0.783604	0.039657	0.195572	0.651602	0.318372	0.239255
11	-66632.48	-66610.97	-21.51315	0.0314361	0.246384	0.225881	0.135913	-3.4598	-1.40086	-1.48775	-1.99574	0.0731797	-1.54249	-2.83745	-1.43023	2.763587	0.8124995	0.5680637	0.9829872	0.4442835	0.2623856	0.5538978	1.156296	0.306803	0.203706	0.327096	0.162394	1.07592	0.213847	0.0585749	0.239255
12	-61520.67	-61513.84	-6.837351	0.206125	0.0411741	0.0597944	0.135913	-1.57927	-3.18995	-2.81684	-1.99574	-1.55	-3.03246	-1.60927	-3.50325	0.05988346	0.01533632	0.0308326	0.9829872	0.4442835	0.109623	0.1337597	0.3016336	0.248563	0.354866	0.265004	0.131567	0.212247	0.0481969	0.200034	0.0300995
13	-63572.24	-63561.19	-11.05149	0.104817	0.0411741	0.209772	0.0324295	-2.25554	-3.18995	-1.56174	-3.42869	-2.65015	-3.03246	0.136599	-1.45282	0.05988346	0.01923469	0.0308326	0.1948549	0.4442835	0.109623	0.5609835	1.993007	0.196145	0.490915	0.209119	0.103821	0.0706403	0.0481969	1.14637	0.233909
14	-72426.29	-72413.25	-13.04155	0.0756049	0.457912	0.209772	0.00519357	-2.58223	-0.781078	-1.56174	-5.26033	-1.89444	-1.82618	-2.55647	-4.14515	0.001679481	1.579218	0.1118361	0.1948549	0.8540336	0.0686633	0.06499407	0.8638145	0.196145	0.490915	0.209119	0.103821	0.150402	0.161028	0.0775781	0.0158411
15	-62119.04	-62116.52	-2.52104	0.0132551	0.0960628	0.417534	0.152756	-4.32337	-2.34275	-0.87339	-1.87892	-2.36185	-1.68263	-2.55647	-1.34987	0.001679481	0.01006014	0.2284162	0.1948549	0.8540336	0.03864177	0.0355766	0.005111258	0.196145	0.490915	0.209119	0.103821	0.0942459	0.185885	0.0775781	0.259274
16	-63648.96	-63636.16	-12.79899	0.0132551	0.999114	0.0713761	0.00528964	-4.32337	-0.000886417	-2.63979	-5.242	-3.09279	-2.26104	-2.55647	-1.63738	0.00669187	0.0123194	0.2284162	1.025344e-05	0.8540336	5.057981	0.03050177	0.645742	0.328496	0.147404	0.350224	0.173876	0.0453754	0.104242	0.0775781	0.19449
17	-66989.97	-66976.42	-13.55851	0.673217	0.0951867	0.396031	0.0516726	-0.395688	-2.35191	-0.926263	-2.96283	-1.85046	-2.98652	-3.43931	-0.522475	0.03006711	0.03794752	2.737136	1.025344e-05	1.262713	2.772839	0.07994495	0.645742	0.358631	0.0691897	0.382352	0.189827	0.157165	0.0504629	0.0320869	0.593051
18	-65019.12	-65003.46	-15.65764	0.0464728	0.0491846	0.323817	0.139902	-3.06889	-3.01217	-1.12758	-1.96682	-4.20075	-0.0308518	-1.21635	-1.46068	0.03006711	0.03794752	1.263986	0.000991744	1.262713	2.772839	0.3302325	0.6147932	0.358631	0.0691897	0.382352	0.189827	0.0149843	0.969619	0.29631	0.232077
19	-65858.36	-65847.63	-10.73032	0.119747	0.0491846	0.104225	0.0242224	-2.12238	-3.01217	-2.2612	-3.72048	-3.0178	0.0468126	-2.42285	-1.99392	0.02675466	0.006970387	1.263986	0.000991744	1.262713	1.942211	0.3302325	0.1202829	0.53593	0.262437	0.118139	0.0834939	0.0489088	1.04793	0.0886689	0.136161
20	-63678.47	-63668.49	-9.984638	0.577526	0.330576	0.432187	0.0242224	-0.549001	-1.10692	-0.838897	-3.72048	-1.9311	-1.0421	-2.98488	-0.639179	1.48106	0.08437255	0.4919935	0.000991744	0.1390503	0.05825655	0.2373791	0.1202829	0.53593	0.262437	0.118139	0.0834939	0.144988	0.352712	0.0505457	0.527726
21	-63043.59	-63027.37	-16.21795	0.0236558	0.0457064	0.432187	0.201643	-3.74415	-3.08552	-0.838897	-1.60126	-2.91278	-1.0421	-0.139352	-3.22371	1.256336	0.08437255	0.8678981	0.01901061	1.35922	2.175564	0.1394924	0.0131369	0.53593	0.262437	0.118139	0.0834939	0.0543244	0.352712	0.869921	0.039807
22	-70454.07	-70439.71	-14.36209	0.0236558	0.0630577	0.0227383	0.127718	-3.74415	-2.7637	-3.78371	-2.05793	-2.33691	-1.0421	0.412466	-3.16075	0.6462106	0.08437255	0.8678981	0.7871825	0.3481711	0.01208073	0.4197773	0.2083428	0.307678	0.150666	0.523708	0.017949	0.0966259	0.352712	1.51054	0.0423939
23	-74324.18	-74311.22	-12.95823	0.0236558	0.095417	0.0226172	0.202857	-3.74415	-2.3495	-3.78905	-1.59525	-1.40608	-1.23908	0.412466	-3.38671	0.6462106	0.02406953	0.9103135	1.286009	0.3481711	0.01208073	0.01665071	0.2408022	0.349333	0.434784	0.195504	0.020379	0.245101	0.289652	1.51054	0.0338196
24	-65440.71	-65422.17	-18.53524	0.226943	0.513379	0.227324	0.202857	-1.48306	-0.666741	-1.48138	-1.59525	-2.20794	-2.54142	-3.67281	-1.41314	0.6462106	0.01901296	2.298402	1.286009	2.068143	1.031018	0.01665071	0.6364075	0.349333	0.434784	0.195504	0.020379	0.109927	0.0787543	0.025405	0.243377
25	-65680.7	-65664.54	-16.16376	0.1646	0.190082	0.107962	0.202857	-1.80424	-1.6603	-2.22598	-1.59525	-2.20794	-2.54142	-3.80993	-0.326785	0.1105264	1.006854	0.09737397	1.286009	0.2936331	1.031018	0.7051203	0.6364075	0.349333	0.434784	0.195504	0.020379	0.109927	0.0787543	0.0221497	0.721239
26	-64112.22	-64094.34	-17.87802	0.0454673	0.0818694	0.107962	0.202857	-3.09076	-2.50263	-2.22598	-1.59525	-2.20794	-3.08685	-2.89262	-3.23191	0.1105264	0.02060048	2.141052	2.05147	1.259478	1.031018	0.7051203	0.6364075	0.281318	0.54483	0.15744	0.0164113	0.109927	0.0456457	0.0554309	0.039482
27	-62843.04	-62829.55	-13.4895	0.0819368	0.100811	0.107962	0.202857	-2.50181	-2.29451	-2.22598	-1.59525	-4.0824	-3.64671	-3.16727	-0.461432	0.02944486	0.02060048	0.6262506	0.2744096	1.259478	1.031018	0.1952327	0.6364075	0.281318	0.54483	0.15744	0.0164113	0.016867	0.0260769	0.0421185	0.630381
28	-66546.93	-66536.53	-10.39389	0.533973	0.0585561	0.0248664	0.202857	-0.627409	-2.83777	-3.69424	-1.59525	0.000651494	-3.43277	-3.16727	-3.41351	0.02944486	0.1511906	0.04752388	0.2744096	0.005483823	1.031018	0.1952327	0.6364075	0.243	0.283259	0.459565	0.0141759	1.00065	0.0322973	0.0421185	0.0329255
29	-66071.68	-66066.42	-5.259086	0.533973	0.0585561	0.271472	0.0822754	-0.627409	-2.83777	-1.3039	-2.49768	0.000651494	-1.34663	-3.16727	-2.17414	0.0005455236	0.1511906	0.09023589	0.2744096	0.03391638	0.01268028	0.1952327	0.5505563	0.243	0.283259	0.459565	0.0141759	1.00065	0.260115	0.0421185	0.113706
30	-67937.72	-67929.46	-8.259693	0.533973	0.077574	0.0671847	0.0889212	-0.627409	-2.55652	-2.70031	-2.42001	0.000651494	-1.34663	-3.16727	-0.90775	0.03089808	0.1511906	0.09023589	0.2744096	0.03391638	0.3135193	0.02218363	0.5505563	0.243	0.283259	0.459565	0.0141759	1.00065	0.260115	0.0421185	0.403431
